OrderID,OrderDate,Region,State,SalesChannel,Product,Quantity,Sales,Profit,Employee,DeliveryDays
1,2020-01-01 00:00:00,South,Colorado,Online,Floral,4,500,100,Douglas T.,6
2,2020-01-01 01:00:00,West,Florida,Wholesale,Dinnerware,5,1000,200,Shawn W.,7
3,2020-01-01 02:00:00,Midwest,Georgia,Distributor,Festive,3,200,40,Carl N.,5
4,2020-01-01 03:00:00,South,New York,Online,Floral,5,1000,200,Douglas T.,7
5,2020-01-01 04:00:00,South,Colorado,Online,Dining Furniture,5,1000,200,Joe P.,7
6,2020-01-01 05:00:00,West,Michigan,Wholesale,Furniture Cushions,2,100,20,Keith G.,4
7,2020-01-01 06:00:00,Midwest,Illinois,Distributor,Festive,3,200,40,Carl N.,5
8,2020-01-01 07:00:00,Midwest,Colorado,Distributor,Festive,3,200,40,Carl N.,5
9,2020-01-01 08:00:00,South,Georgia,Online,Floral,3,200,40,Douglas T.,5
10,2020-01-01 09:00:00,Northeast,New York,In-Store,Cookware,5,1000,200,Donald R.,7
11,2020-01-01 10:00:00,South,Florida,Online,Dining Furniture,4,500,100,Joe P.,6
12,2020-01-01 11:00:00,South,Georgia,Online,Floral,3,200,40,Douglas T.,5
13,2020-01-01 12:00:00,South,Georgia,Online,Dining Furniture,5,1000,200,Joe P.,8
14,2020-01-01 13:00:00,South,Illinois,Online,Dining Furniture,2,100,20,Joe P.,7
15,2020-01-01 14:00:00,West,Arizona,Wholesale,Furniture Cushions,4,500,100,Keith G.,4
16,2020-01-01 15:00:00,Midwest,New York,Distributor,Festive,2,100,20,Carl N.,6
17,2020-01-01 16:00:00,West,Texas,Wholesale,Dinnerware,4,500,100,Shawn W.,8
18,2020-01-01 17:00:00,West,Georgia,Wholesale,Furniture Cushions,5,1000,200,Keith G.,8
19,2020-01-01 18:00:00,West,Arizona,Wholesale,Furniture Cushions,1,50,10,Keith G.,4
20,2020-01-01 19:00:00,South,Texas,Online,Dining Furniture,4,500,100,Joe P.,6
21,2020-01-01 20:00:00,Northeast,New York,In-Store,Floor Lamps,2,100,20,Joshua B.,7
